Water_Year,Area_Days_Open,Total_Snowfall
1981,17,90
1982,47,91
1983,141,233
1984,93,139
1985,131,250
1986,72,83
1987,130,260
1988,94,117
1989,91,95
1990,93,120
1991,93,120
1992,,171
1993,,164
1994,,88
1995,,85
1996,,47
1997,,144
1998,,182
1999,,25
2000,,35
2001,,316
2002,,95
2003,,
2004,,131
2005,,221
2006,,
2007,,274
2008,,93
2009,,52
2010,,132
2011,,58
2012,,115
2013,,32
2014,,42
2015,,75
2016,,213
2017,,66
2018,,32
2019,,128
2020,,89
2021,,92
2022,,67
